BASE_YEAR,BOAT_NO,PRACE_NCNT,N1CK_NCNT,N2CK_NCNT,N3CK_NCNT,AVRG_CKSN_SCORE_VALUE,YUNDAE_RT,BEST_SAIL_TIME_VALUE,N2JU_BEST_TIME_VALUE,N3JU_BEST_TIME_VALUE
2010,B2010025,82,22,15,12,5.91,45.1,01:49.4,01:49.4,01:47.6
2010,B2010001,85,11,19,11,5.13,35.3,01:48.3,01:48.3,01:47.7
2010,B2010002,64,6,7,14,4.78,20.3,01:49.3,01:49.3,01:48.1
2010,B2010003,21,3,9,3,6.24,57.1,01:49.2,01:49.2,01:48.3
2010,B2010005,77,4,7,23,4.66,14.3,01:49.1,01:49.1,01:47.8
2010,B2010006,67,10,11,12,5.04,31.3,01:48.0,01:48.0,01:47.5
2010,B2010008,88,16,13,17,5.33,33,01:48.8,01:48.8,01:47.8
2010,B2010009,54,9,9,9,5.17,33.3,01:48.3,01:48.3,01:47.7
2010,B2010011,37,6,8,9,5.76,37.8,01:48.3,01:48.3,01:47.5
2010,B2010012,76,5,16,19,5,27.6,01:49.2,01:49.2,01:49.3
2010,B2010014,89,16,10,17,5.13,29.2,01:49.2,01:49.2,01:48.1
2010,B2010015,57,6,12,8,5,31.6,01:50.1,01:50.1,01:47.6
2010,B2010017,87,8,15,11,4.49,26.4,01:48.1,01:48.1,01:48.3
2010,B2010018,55,13,6,6,5.29,34.5,01:47.4,01:47.4,01:48.9
2010,B2010020,83,14,11,19,5.27,30.1,01:48.0,01:48.0,01:47.9
2010,B2010021,86,14,18,12,5.34,37.2,01:49.4,01:49.4,01:47.8
2010,B2010023,68,19,14,7,6.31,48.5,01:48.3,01:48.3,01:50.3
2010,B2010024,48,6,6,10,4.56,25,01:50.7,01:50.7,01:49.5
2010,B2010095,69,7,10,12,4.48,24.6,01:49.1,01:49.1,01:47.0
2010,B2010094,60,10,8,10,4.9,30,01:48.7,01:48.7,01:47.8
2010,B2010093,82,9,11,18,4.76,24.4,01:49.0,01:49.0,01:48.6
2010,B2010092,75,12,11,17,4.96,30.7,01:49.5,01:49.5,01:47.0
2010,B2010091,71,6,11,13,4.8,23.9,01:49.0,01:49.0,01:48.2
2010,B2010090,84,11,14,14,4.87,29.8,01:48.6,01:48.6,01:49.1
2010,B2010089,84,11,17,16,5.29,33.3,01:48.5,01:48.5,01:47.3
2010,B2010087,76,20,18,10,6.29,50,01:47.8,01:47.8,01:48.5
2010,B2010086,44,16,8,4,6.52,54.5,01:47.8,01:47.8,01:47.8
2010,B2010084,56,6,11,11,5.18,30.4,01:50.0,01:50.0,01:48.9
2010,B2010083,81,20,15,12,5.98,43.2,01:47.5,01:47.5,01:50.4
2010,B2010081,85,28,13,12,6.35,48.2,01:48.0,01:48.0,01:47.6
2010,B2010080,83,12,14,20,5.42,31.3,01:48.0,01:48.0,01:47.5
2010,B2010079,82,8,13,8,4.18,25.6,01:49.9,01:49.9,01:48.1
2010,B2010077,87,14,17,21,5.78,35.6,01:48.6,01:48.6,01:48.1
2010,B2010076,85,9,9,15,4.29,21.2,01:49.4,01:49.4,01:47.0
2010,B2010074,74,12,9,12,4.69,28.4,01:48.7,01:48.7,01:49.2
2010,B2010073,74,7,15,13,4.81,29.7,01:48.7,01:48.7,01:47.4
2010,B2010071,75,8,15,11,4.72,30.7,01:49.0,01:49.0,01:47.6
2010,B2010070,68,6,4,17,4.31,14.7,01:51.2,01:51.2,01:47.9
2010,B2010068,65,11,16,7,5.18,41.5,01:48.8,01:48.8,01:46.0
2010,B2010067,85,11,17,14,5.11,32.9,01:47.8,01:47.8,01:47.7
2010,B2010065,72,4,15,12,4.67,26.4,01:49.4,01:49.4,01:47.2
2010,B2010064,82,16,12,8,4.99,34.1,01:48.5,01:48.5,01:47.4
2010,B2010062,82,16,14,17,5.48,36.6,01:47.4,01:47.4,01:47.0
2010,B2010061,84,28,15,11,6.57,51.2,01:47.6,01:47.6,01:47.6
2010,B2010059,76,19,14,9,5.8,43.4,01:48.1,01:48.1,01:47.8
2010,B2010058,83,9,22,11,5.24,37.3,01:50.2,01:50.2,01:48.5
2010,B2010056,65,8,8,8,4.38,24.6,01:48.9,01:48.9,01:48.2
