OPER_INSTT_NM,BASE_YEAR,TME_VALUE,DAY_ORD_VALUE,RACE_DE,PRACE_NO,DANSEONG_VALUE,YNGSEONG_ONE_VALUE,YNGSEONG_TWO_VALUE,SSANGSEONG_VALUE,BOKSEONG_VALUE,SAMBOKSEONG_VALUE,SAMSSANGSEONG_DVDN_RT,SSANBOKSEONG_DVDN_RT
경륜,2010,1,1,20100108,1,1.2,1.2,1,2.2,1.7,4.6,,
경정,2010,1,1,20100303,1,20.6,3.8,1,42.2,8,3.8,,
경륜,2010,1,1,20100108,2,1.4,1,1.7,3.4,2.1,5,,
경정,2010,1,1,20100303,2,5.9,1.7,1.9,11.5,5.9,3.8,,
경륜,2010,1,1,20100108,3,1.3,1.4,8.8,10.7,8.6,8.1,,
경정,2010,1,1,20100303,3,2.1,1.3,6.9,18.9,14,9.9,,
경륜,2010,1,1,20100108,4,4,2.3,4.8,33.5,23.6,9.5,,
경정,2010,1,1,20100303,4,2.1,1.3,8.6,34.1,27.9,21.6,,
경륜,2010,1,1,20100108,5,1.6,1.1,6,7.8,7.5,5,,
경정,2010,1,1,20100303,5,2.5,1.8,2.4,9.2,6.8,8.7,,
경륜,2010,1,1,20100108,6,2.9,1.5,1,4.7,2.3,2.2,,
경정,2010,1,1,20100303,6,9,2.3,1.3,18.8,4.5,15.9,,
경륜,2010,1,1,20100108,7,3.1,1.1,2.1,4.9,2.7,2.3,,
경정,2010,1,1,20100303,7,3.3,1.6,3.6,20.4,14.2,30.4,,
경륜,2010,1,1,20100108,8,1.3,1.3,3.5,5,4.6,3.2,,
경륜,2010,1,1,20100108,9,1.8,1.1,8.5,11.3,10.2,4.2,,
경륜,2010,1,1,20100108,10,8.5,2.8,2.3,41.4,19.2,6.6,,
경륜,2010,1,1,20100108,11,1.2,1.1,2.1,2.8,2.3,2.9,,
경륜,2010,1,1,20100108,12,22.2,5.9,1.2,76.1,16.6,33,,
경륜,2010,1,1,20100108,13,1.6,1.1,1.1,2.4,1.3,1.7,,
경륜,2010,1,1,20100108,14,1.1,1.1,1.3,1.7,1.5,1.9,,
경륜,2010,1,2,20100109,1,1.3,1.1,3,4.2,3.7,11.3,,
경정,2010,1,2,20100304,1,6.1,2.5,1.2,11.4,4.6,4,,
경륜,2010,1,2,20100109,2,3.6,1.6,2.1,8.4,3.7,2.6,,
경정,2010,1,2,20100304,2,1.1,1,5.6,9,7.5,7.5,,
경륜,2010,1,2,20100109,3,9.2,4.5,2.1,53.3,20.8,92.5,,
경정,2010,1,2,20100304,3,12.6,5.3,1.2,43.8,12.4,17.2,,
경륜,2010,1,2,20100109,4,2.6,1.7,1.2,5.7,1.7,23.5,,
경정,2010,1,2,20100304,4,2.6,1.5,1.6,5.7,2.5,4.4,,
경륜,2010,1,2,20100109,5,1.3,1,5,25.8,23.3,11.7,,
경정,2010,1,2,20100304,5,2.3,1.6,3.7,17.2,11.8,11.2,,
경륜,2010,1,2,20100109,6,1.6,1.2,4.3,13.4,10.4,105.8,,
경정,2010,1,2,20100304,6,1.5,1.1,2.2,5.1,3.6,3,,
경륜,2010,1,2,20100109,7,2.9,1.1,1.4,4.5,1.7,2,,
경정,2010,1,2,20100304,7,1.8,1.5,1.7,4.9,2.8,4.5,,
경륜,2010,1,2,20100109,8,1.2,1.1,2.3,4.5,3.9,7.5,,
경륜,2010,1,2,20100109,9,1.1,1.1,3.6,4.3,4,21.3,,
경륜,2010,1,2,20100109,10,1.5,1.1,3,2.8,2.1,6.9,,
경륜,2010,1,2,20100109,11,2.4,1.4,1.7,4,2,7.2,,
경륜,2010,1,2,20100109,12,3.4,1.5,1,16.2,12.1,6.7,,
경륜,2010,1,2,20100109,13,1.2,1,1.5,2.1,1.6,4.1,,
경륜,2010,1,2,20100109,14,1,1,2.1,2.5,2.3,6.1,,
경륜,2010,1,3,20100110,1,2.8,1.1,2.6,7.9,3.6,26,,
경륜,2010,1,3,20100110,2,1.2,1,2.1,2.4,1.8,5,,
경륜,2010,1,3,20100110,3,2.1,1.4,1.4,4.7,2,3.3,,
경륜,2010,1,3,20100110,4,11,2.5,1.9,26.3,9,4.2,,
경륜,2010,1,3,20100110,5,4.4,1.8,1.3,9.4,4.1,3,,
경륜,2010,1,3,20100110,6,1.7,1.6,1.4,3.8,2.3,3.7,,
경륜,2010,1,3,20100110,7,1.2,1,2.4,3.4,3,4.3,,
경륜,2010,1,3,20100110,8,2.5,1.6,4.1,20.9,15,4.9,,
경륜,2010,1,3,20100110,9,8,1.9,1.1,7.3,2,2.1,,
경륜,2010,1,3,20100110,10,6.8,2.7,1.2,18.4,3.5,22.3,,
경륜,2010,1,3,20100110,11,7.5,3.2,1,15.2,4.8,2.9,,
경륜,2010,1,3,20100110,12,1.7,1,2.1,3.8,2.9,27.8,,
경륜,2010,1,3,20100110,13,7.2,2.8,1.2,10.4,2,2.8,,
경륜,2010,1,3,20100110,14,1.1,1,2.3,3.9,3.4,5.7,,
경륜,2010,2,1,20100115,1,1.7,1.1,5.1,6.9,6.2,12.3,,
경륜,2010,2,1,20100115,2,1,1.1,3,4.5,3.6,14.3,,
경륜,2010,2,1,20100115,3,1.7,1,1.8,3.3,1.7,4.8,,
경륜,2010,2,1,20100115,4,1.9,1.1,3,7.5,5.3,2.5,,
경륜,2010,2,1,20100115,5,1.5,1.4,3.8,5.5,4.6,83.6,,
경륜,2010,2,1,20100115,6,53.8,6.5,1.4,133,36.8,11.4,,
경륜,2010,2,1,20100115,7,1,1,2.2,2.8,2.6,13.9,,
경륜,2010,2,1,20100115,8,1.8,1.2,2.4,5.9,4.1,1.8,,
경륜,2010,2,1,20100115,9,3,1.5,1.3,5.2,1.8,6.5,,
경륜,2010,2,1,20100115,10,1.4,1,1.7,1.9,1.5,5.4,,
경륜,2010,2,1,20100115,11,1,1,11.3,14.3,13.4,21.7,,
경륜,2010,2,1,20100115,12,1.1,1.1,1.1,1.9,1.3,1.7,,
경륜,2010,2,1,20100115,13,1,1,1.7,1.8,1.7,9.9,,
경륜,2010,2,1,20100115,14,1,1,2.3,2.1,1.8,5.1,,
경륜,2010,2,2,20100116,1,1.3,1.1,8.8,10.1,7.3,14.9,,
경정,2010,2,2,20100311,1,13.8,5.1,2.1,54.4,20.5,6,,
