RACE_YEAR,MOTOR_NO,PRACE_NCNT,N1CK_NCNT,N2CK_NCNT,N3CK_NCNT,AVRG_CKSN_SCORE_VALUE,YUNDAE_RT,BEST_SAIL_TIME_VALUE,N2JU_BEST_TIME_VALUE,N3JU_BEST_TIME_VALUE
2002,M2002045,38,8,7,9,6.21,39.5,1:56.515,1:56.515,1:56.515
2002,M2002044,39,4,2,3,3.46,15.4,1:57.930,1:57.930,1:57.930
2002,M2002043,39,9,10,10,7.18,48.7,1:55.857,1:55.857,1:55.857
2002,M2002034,38,6,3,4,4.58,23.7,1:54.680,1:54.680,1:54.680
2002,M2002031,35,5,9,3,5.4,40,1:55.675,1:55.675,1:55.675
2002,M2002033,34,3,3,6,4.35,17.6,1:58.391,1:58.391,1:58.391
2002,M2002030,20,0,1,1,2.95,5,1:59.472,1:59.472,1:59.472
2002,M2002035,38,3,4,8,4.68,18.4,1:56.654,1:56.654,1:56.654
2002,M2002040,35,6,5,6,5.63,31.4,1:52.690,1:52.690,1:52.690
2002,M2002014,39,9,12,7,6.69,53.8,1:54.681,1:54.681,1:54.681
2002,M2002015,34,1,3,8,4.06,11.8,1:59.787,1:59.787,1:59.787
2002,M2002016,41,7,6,8,5.46,31.7,1:57.773,1:57.773,1:57.773
2002,M2002017,38,6,4,8,5.13,26.3,1:55.944,1:55.944,1:55.944
2002,M2002018,40,3,4,9,4.98,17.5,1:57.390,1:57.390,1:57.390
2002,M2002019,36,4,3,7,4.89,19.4,1:55.066,1:55.066,1:55.066
2002,M2002020,36,14,3,3,6.53,47.2,1:55.069,1:55.069,1:55.069
2002,M2002021,36,0,3,8,3.56,8.3,1:59.218,1:59.218,1:59.218
2002,M2002070,20,1,0,2,3.3,5,2:01.250,2:01.250,2:01.250
2002,M2002067,33,2,9,5,5.27,33.3,1:58.398,1:58.398,1:58.398
2002,M2002064,35,6,3,4,4.6,25.7,1:58.567,1:58.567,1:58.567
2002,M2002039,37,9,10,10,6.95,51.4,1:53.878,1:53.878,1:53.878
2002,M2002038,32,1,4,4,3.69,15.6,2:00.263,2:00.263,2:00.263
2002,M2002029,33,2,6,7,4.82,24.2,1:57.399,1:57.399,1:57.399
2002,M2002022,40,10,11,4,6.53,52.5,1:56.204,1:56.204,1:56.204
2002,M2002023,32,2,3,14,5.19,15.6,1:57.660,1:57.660,1:57.660
2002,M2002024,35,5,6,11,6.43,31.4,1:56.935,1:56.935,1:56.935
2002,M2002025,40,3,4,8,4.53,17.5,1:54.346,1:54.346,1:54.346
2002,M2002026,37,7,7,10,6.16,37.8,1:57.780,1:57.780,1:57.780
2002,M2002036,38,8,13,4,6.92,55.3,1:56.559,1:56.559,1:56.559
2002,M2002001,36,13,4,4,6.44,47.2,1:51.866,1:51.866,1:51.866
2002,M2002002,38,16,5,5,6.89,55.3,1:54.879,1:54.879,1:54.879
2002,M2002003,38,8,4,7,5.71,31.6,1:56.222,1:56.222,1:56.222
2002,M2002004,39,2,10,5,4.79,30.8,1:58.264,1:58.264,1:58.264
2002,M2002005,38,3,4,9,4.55,18.4,1:54.314,1:54.314,1:54.314
2002,M2002006,40,12,4,5,5.68,40,1:54.056,1:54.056,1:54.056
2002,M2002042,38,6,12,4,5.87,47.4,1:56.098,1:56.098,1:56.098
2002,M2002041,33,4,1,3,4.18,15.2,1:57.133,1:57.133,1:57.133
2002,M2002007,32,8,7,4,6.06,46.9,1:58.966,1:58.966,1:58.966
2002,M2002008,31,1,2,6,3.61,9.7,1:58.975,1:58.975,1:58.975
2002,M2002009,36,2,8,5,5,27.8,1:54.465,1:54.465,1:54.465
2002,M2002010,35,8,9,4,6.43,48.6,1:55.625,1:55.625,1:55.625
2002,M2002037,38,5,5,10,5.37,26.3,1:56.518,1:56.518,1:56.518
2002,M2002069,36,13,7,4,6.86,55.6,1:56.348,1:56.348,1:56.348
2002,M2002068,21,1,2,3,3.86,14.3,2:02.969,2:02.969,2:02.969
2002,M2002066,37,3,3,8,4.43,16.2,1:59.350,1:59.350,1:59.350
2002,M2002065,31,9,4,2,5.68,41.9,2:00.314,2:00.314,2:00.314
2002,M2002063,36,12,7,7,7,52.8,1:54.185,1:54.185,1:54.185
2002,M2002062,38,8,10,8,6.55,47.4,1:57.499,1:57.499,1:57.499
2002,M2002060,34,7,4,7,5.74,32.4,1:54.297,1:54.297,1:54.297
2002,M2002058,38,11,6,5,6.32,44.7,1:54.852,1:54.852,1:54.852
2002,M2002057,39,7,5,6,5.05,30.8,1:54.921,1:54.921,1:54.921
2002,M2002055,29,2,2,2,2.9,13.8,1:52.588,1:52.588,1:52.588
2002,M2002054,31,0,3,5,3.65,9.7,1:58.716,1:58.716,1:58.716
2002,M2002052,28,9,7,2,7,57.1,1:57.717,1:57.717,1:57.717
2002,M2002051,37,6,13,3,5.92,51.4,1:58.900,1:58.900,1:58.900
2002,M2002050,38,4,9,5,5.16,34.2,1:53.993,1:53.993,1:53.993
2002,M2002011,35,3,3,7,4.49,17.1,1:53.785,1:53.785,1:53.785
2002,M2002032,38,2,7,5,4.34,23.7,1:55.849,1:55.849,1:55.849
2002,M2002028,38,8,3,5,5.29,28.9,1:55.976,1:55.976,1:55.976
2002,M2002012,35,6,6,6,5.54,34.3,1:53.342,1:53.342,1:53.342
2002,M2002013,33,2,1,9,4.24,9.1,1:55.515,1:55.515,1:55.515
2002,M2002061,28,2,1,6,3.96,10.7,1:58.493,1:58.493,1:58.493
2002,M2002059,30,6,10,4,7,53.3,1:56.087,1:56.087,1:56.087
2002,M2002056,29,7,7,8,6.69,48.3,1:55.074,1:55.074,1:55.074
2002,M2002053,36,1,5,7,4.25,16.7,1:57.990,1:57.990,1:57.990
2002,M2002048,39,3,3,7,4.08,15.4,1:59.042,1:59.042,1:59.042
2002,M2002049,36,12,11,1,7.42,63.9,1:54.612,1:54.612,1:54.612
2002,M2002046,36,8,16,2,6.86,66.7,1:56.584,1:56.584,1:56.584
2002,M2002027,39,15,8,3,7.03,59,1:54.607,1:54.607,1:54.607
2002,M2002047,40,7,10,6,5.73,42.5,1:55.291,1:55.291,1:55.291
2003,M2003071,39,11,7,10,7.21,46.2,1:50.994,1:50.994,1:50.994
2003,M2003073,44,5,5,8,4.7,22.7,1:51.316,1:51.316,1:51.316
2003,M2003074,46,13,14,4,7.17,58.7,1:50.409,1:50.409,1:50.409
2003,M2003076,48,7,13,9,5.96,41.7,1:50.611,1:50.611,1:50.611
2003,M2003077,46,11,8,10,6.54,41.3,1:48.882,1:48.882,1:48.882
2003,M2003079,28,8,2,7,5.89,35.7,1:53.091,1:53.091,1:53.091
2003,M2003080,45,7,5,8,4.96,26.7,1:53.108,1:53.108,1:53.108
2003,M2003044,58,6,8,12,5.03,24.1,1:53.549,1:53.549,1:53.549
2003,M2003047,76,18,16,11,6.43,44.7,1:49.802,1:49.802,1:49.802
2003,M2003053,67,7,9,17,5.24,23.9,1:52.526,1:52.526,1:52.526
2003,M2003050,57,7,15,15,5.98,38.6,1:48.917,1:48.917,1:48.917
2003,M2003056,68,14,7,16,5.71,30.9,1:52.017,1:52.017,1:52.017
2003,M2003059,72,23,11,14,6.78,47.2,1:47.757,1:47.757,1:47.757
2003,M2003062,66,4,13,13,5.02,25.8,1:51.474,1:51.474,1:51.474
2003,M2003065,65,18,13,12,6.83,47.7,1:48.980,1:48.980,1:48.980
2003,M2003069,53,12,7,6,5.28,35.8,1:54.509,1:54.509,1:54.509
2003,M2003072,45,4,11,6,5.73,33.3,1:50.551,1:50.551,1:50.551
2003,M2003075,41,7,7,5,5.29,34.1,1:50.618,1:50.618,1:50.618
2003,M2003078,43,4,6,2,4.37,23.3,1:53.085,1:53.085,1:53.085
2003,M2003033,76,15,10,11,5.28,32.9,1:53.691,1:53.691,1:53.691
2003,M2003032,74,9,15,13,5.46,32.4,1:50.701,1:50.701,1:50.701
2003,M2003030,80,18,17,10,6.23,43.8,1:50.179,1:50.179,1:50.179
2003,M2003029,68,4,8,11,4.38,17.6,1:52.574,1:52.574,1:52.574
