RACE_YEAR,PLAYER_REGIST_NO,PLAYER_NM,PRACE_NCNT,PRACE_1R_NCNT,PRACE_2R_NCNT,PRACE_3R_NCNT,PRACE_4R_NCNT,PRACE_5R_NCNT,PRACE_6R_NCNT,AVRG_CKSN_SCORE_VALUE,AVRG_ACDNT_SCORE_VALUE,AVRG_SCORE_VALUE,AVRG_BEGIN_TIME_VALUE,VICTRY_RT,YUNDAE_RT,THREE_YUNDAE_RT,PLAYER_GRAD_NM,PLAYER_PN_NO
2010,02-012,김종민,84,40,19,11,7,5,1,8.24,0.27,7.96,0.22,47.6,70.2,83.3,,
2010,02-010,김정구,49,3,6,9,11,14,4,4.29,0.44,3.85,0.25,6.1,18.4,36.7,,
2010,02-009,김재윤,60,3,7,12,15,12,8,4.2,0.44,3.76,0.33,5,16.7,36.7,,
2010,02-008,김민천,57,13,15,8,10,6,3,6.33,0.39,5.95,0.25,22.8,49.1,63.2,,
2010,02-007,김영진,29,0,5,2,6,5,9,3.28,0.52,2.76,0.27,0,17.2,24.1,,
2010,02-005,김선필,48,12,13,6,2,5,7,6.02,0.67,5.35,0.34,25,52.1,64.6,,
2010,02-003,김남빈,42,2,5,12,13,4,6,4.71,0.24,4.48,0.31,4.8,16.7,45.2,,
2010,02-002,김기한,65,6,15,16,14,7,7,5.49,0.28,5.21,0.31,9.2,32.3,56.9,,
2010,02-001,공상희,26,3,2,6,6,6,2,4.62,0.54,4.08,0.22,11.5,19.2,42.3,,
2010,01-048,황만주,54,4,9,10,16,11,4,4.89,0.21,4.68,0.36,7.4,24.1,42.6,,
2010,01-047,한  진,88,16,16,21,16,11,7,5.93,0.19,5.74,0.3,18.2,36.4,60.2,,
2010,01-045,조현귀,47,1,6,7,10,11,10,3.7,0.44,3.27,0.3,2.1,14.9,29.8,,
2010,01-044,정인교,44,10,11,3,11,3,5,6.02,0.33,5.69,0.21,22.7,47.7,54.5,,
2010,01-043,정용진,67,17,11,12,6,12,5,5.81,0.54,5.27,0.21,25.4,41.8,59.7,,
2010,01-042,정민수,89,23,24,19,12,5,5,7.01,0.16,6.85,0.25,25.8,52.8,74.2,,
2010,01-041,전진원,50,1,4,9,15,8,12,3.68,0.35,3.33,0.39,2,10,28,,
2010,01-040,장영태,69,20,22,8,8,10,1,7.16,0.2,6.96,0.27,29,60.9,72.5,,
2010,01-039,임인섭,70,8,13,16,17,10,4,5.37,0.36,5.01,0.29,11.4,30,52.9,,
2010,01-037,이택근,61,12,10,11,10,8,8,5.44,0.26,5.18,0.26,19.7,36.1,54.1,,
2010,01-036,이태희,53,18,18,9,2,1,1,7.49,0.69,6.8,0.21,34,67.9,84.9,,
2010,01-035,이응석,55,18,11,4,10,5,5,6.53,0.38,6.15,0.21,32.7,52.7,60,,
2010,01-031,윤영근,61,19,9,8,7,5,11,5.95,0.43,5.52,0.19,31.1,45.9,59,,
2010,01-030,우진수,73,15,10,13,8,14,11,5.25,0.33,4.92,0.25,20.5,34.2,52.1,,
2010,01-029,오세준,70,18,19,7,9,9,4,6.31,0.36,5.96,0.23,25.7,52.9,62.9,,
