RACE_YEAR,TME_VALUE,DAY_ORD_VALUE,RACE_NO,N1R_PLAYER_NM,N2R_PLAYER_NM,N3R_PLAYER_NM,DANSEONG_VALUE,YNGSEONG_ONE_VALUE,YNGSEONG_TWO_VALUE,SSANGSEONG_VALUE,BOKSEONG_VALUE,SAMBOKSEONG_VALUE,SAMSSANGSEONG_DVDN_RT,SSANBOKSEONG_DVDN_RT
2010,1,1,1,⑤이장호,①길현태,③권명호,⑤20.6,⑤3.8,①1,⑤-①42.2,①-⑤8,①-③-⑤3.8,,
2010,1,1,2,③윤영근,⑤김종민,①정민수,③5.9,③1.7,⑤1.9,③-⑤11.5,③-⑤5.9,①-③-⑤3.8,,
2010,1,1,3,②김창규,④김국흠,③안지민,②2.1,②1.3,④6.9,②-④18.9,②-④14,②-③-④9.9,,
2010,1,1,4,⑥길현태,③민영건,②최광성,⑥2.1,⑥1.3,③8.6,⑥-③34.1,③-⑥27.9,②-③-⑥21.6,,
2010,1,1,5,④윤영근,⑥정민수,②이장호,④2.5,④1.8,⑥2.4,④-⑥9.2,④-⑥6.8,②-④-⑥8.7,,
2010,1,1,6,④안지민,②김종민,⑥박상현,④9,④2.3,②1.3,④-②18.8,②-④4.5,②-④-⑥15.9,,
2010,1,1,7,⑤최광성,④민영건,⑥여현창,⑤3.3,⑤1.6,④3.6,⑤-④20.4,④-⑤14.2,④-⑤-⑥30.4,,
2010,1,2,1,③여현창,④김종민,①최광성,③6.1,③2.5,④1.2,③-④11.4,③-④4.6,①-③-④4,,
2010,1,2,2,②길현태,⑤구현구,⑥안지민,②1.1,②1,⑤5.6,②-⑤9,②-⑤7.5,②-⑤-⑥7.5,,
2010,1,2,3,⑥김국흠,④정민수,①이장호,⑥12.6,⑥5.3,④1.2,⑥-④43.8,④-⑥12.4,①-④-⑥17.2,,
2010,1,2,4,①윤영근,③김종민,⑤박상현,①2.6,①1.5,③1.6,①-③5.7,①-③2.5,①-③-⑤4.4,,
2010,1,2,5,①안지민,③황이태,④여현창,①2.3,①1.6,③3.7,①-③17.2,①-③11.8,①-③-④11.2,,
2010,1,2,6,⑤길현태,②권명호,③정민수,⑤1.5,⑤1.1,②2.2,⑤-②5.1,②-⑤3.6,②-③-⑤3,,
2010,1,2,7,①김창규,②박상현,③한  진,①1.8,①1.5,②1.7,①-②4.9,①-②2.8,①-②-③4.5,,
2010,2,2,1,⑥김창규,④민영건,①길현태,⑥13.8,⑥5.1,④2.1,⑥-④54.4,④-⑥20.5,①-④-⑥6,,
2010,2,2,2,③권일혁,②박상현,⑥최광성,③24.7,③9.5,②2.2,③-②112.3,②-③37.6,②-③-⑥71.6,,
2010,2,2,3,④정민수,①한  진,③김국흠,④2.6,④1.5,①2.1,④-①8,①-④4,①-③-④9.3,,
2010,2,2,4,②권명호,⑤황이태,⑥여현창,②5.4,②1.5,⑤5.2,②-⑤33.9,②-⑤25.1,②-⑤-⑥48.9,,
2010,2,2,5,⑤박상현,①최광성,③윤영근,⑤6.3,⑤2.2,①2.2,⑤-①24.7,①-⑤12,①-③-⑤11.7,,
2010,2,2,6,③정민수,⑥이용세,④권일혁,③1.5,③1.2,⑥1.9,③-⑥3.7,③-⑥2.7,③-④-⑥7.7,,
2010,2,2,7,④김국흠,②정인교,①여현창,④21.7,④5.5,②3.5,④-②88.1,②-④39.5,①-②-④32.3,,
2010,3,1,1,②박상민,①박규순,④박상현,②1.7,②1.3,①4.8,②-①11.7,①-②8,①-②-④4.2,,
2010,3,1,2,④권명호,③한  진,①신동길,④2.2,④1.3,③2.5,④-③7.2,③-④4.8,①-③-④4.1,,
2010,3,1,3,②여현창,⑤이용세,④김민천,②2.2,②1.3,⑤1.6,②-⑤5.6,②-⑤4,②-④-⑤4.3,,
2010,3,1,4,⑤김종민,①정민수,④강창효,⑤2.3,⑤1.3,①1.3,⑤-①4.6,①-⑤2.1,①-④-⑤4.3,,
