iter	MultiClass
0	1.37219163
1	1.358713437
2	1.345988085
3	1.333772947
4	1.322088127
5	1.31090224
6	1.300218864
7	1.289851122
8	1.28004035
9	1.270624071
10	1.261566413
11	1.252904064
12	1.244556108
13	1.236550188
14	1.228858278
15	1.221420453
16	1.214290494
17	1.207422526
18	1.200780926
19	1.194342215
20	1.188183112
21	1.182208663
22	1.176495697
23	1.1709622
24	1.165631619
25	1.160473932
26	1.155466068
27	1.1506343
28	1.145991814
29	1.141482049
30	1.137067339
31	1.132875342
32	1.128786267
33	1.124841176
34	1.121039133
35	1.117309982
36	1.113739943
37	1.110268361
38	1.106924706
39	1.103688975
40	1.100468379
41	1.097422652
42	1.094482944
43	1.091599777
44	1.08879852
45	1.086069055
46	1.083396476
47	1.08085683
48	1.078371648
49	1.075940713
50	1.073632108
51	1.071405828
52	1.069188315
53	1.067061335
54	1.06504048
55	1.063088866
56	1.061141088
57	1.059261517
58	1.057392556
59	1.055577427
60	1.053811599
61	1.052155153
62	1.050486934
63	1.048889996
64	1.047330141
65	1.045801329
66	1.044365954
67	1.042914208
68	1.04152279
69	1.040211026
70	1.038931977
71	1.037711369
72	1.036536657
73	1.03533542
74	1.034192688
75	1.033103845
76	1.031989582
77	1.03093629
78	1.029911969
79	1.028924914
80	1.027979343
81	1.027026356
82	1.026136523
83	1.02522853
84	1.024308273
85	1.023440214
86	1.022590519
87	1.021763666
88	1.020984087
89	1.020205484
90	1.019448645
91	1.018701029
92	1.017950417
93	1.017277608
94	1.016583752
95	1.015915362
96	1.015287146
97	1.014713359
98	1.014109761
99	1.013521652
