iter	Passed	Remaining
0	6	623
1	11	586
2	18	583
3	24	589
4	31	589
5	37	585
6	43	582
7	50	581
8	56	569
9	63	568
10	68	555
11	75	553
12	81	547
13	87	539
14	94	534
15	100	525
16	107	522
17	113	518
18	119	510
19	126	506
20	132	497
21	138	491
22	145	486
23	151	479
24	157	471
25	162	462
26	167	453
27	173	446
28	205	502
29	241	563
30	247	550
31	253	539
32	261	530
33	267	519
34	274	509
35	280	498
36	285	486
37	295	481
38	301	472
39	308	462
40	314	452
41	320	442
42	326	433
43	332	423
44	339	414
45	344	404
46	351	396
47	357	387
48	363	378
49	370	370
50	376	362
51	382	353
52	388	344
53	393	335
54	399	326
55	405	318
56	412	310
57	418	303
58	425	295
59	430	287
60	437	279
61	443	271
62	449	264
63	455	256
64	461	248
65	467	240
66	473	233
67	479	225
68	485	218
69	491	210
70	496	202
71	503	195
72	509	188
73	516	181
74	522	174
75	527	166
76	536	160
77	541	152
78	549	146
79	555	138
80	562	131
81	569	124
82	575	117
83	581	110
84	586	103
85	592	96
86	597	89
87	602	82
88	609	75
89	615	68
90	622	61
91	628	54
92	635	47
93	642	40
94	647	34
95	652	27
96	656	20
97	660	13
98	664	6
99	669	0
